0,1
0,14
0,26
0,37
0,48
0,52
0,55
0,56
1,2
1,3
1,4
1,5
1,7
1,9
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,34
1,35
1,37
1,39
1,41
1,42
1,43
1,44
1,47
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,61
1,62
1,63
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
2,4
2,6
2,12
2,13
2,15
2,16
2,18
2,20
2,21
2,25
2,26
2,27
2,32
2,33
2,34
2,35
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,52
2,53
2,55
2,56
2,57
2,58
2,60
2,61
2,63
2,65
2,66
2,67
2,68
2,69
2,70
2,72
3,5
3,14
3,18
3,26
3,28
3,29
3,30
3,31
3,32
3,34
3,39
3,42
3,43
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,55
3,57
3,59
3,64
3,65
3,66
3,67
3,68
3,71
3,72
4,5
4,14
4,15
4,17
4,18
4,19
4,21
4,22
4,24
4,25
4,26
4,27
4,29
4,31
4,32
4,34
4,35
4,37
4,39
4,41
4,42
4,44
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,57
4,59
4,61
4,63
4,64
4,65
4,66
4,67
4,69
4,70
4,71
4,72
5,7
5,8
5,10
5,12
5,15
5,17
5,18
5,20
